,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,General Bed Demand at Peak % of Base Scenario,,General Bed Peak (day),,ICU Bed Demand Peak % of Base Scenario,,ICU Peak (day),,Deaths (%),,
,,,,,,,,,,,
Intervention,Median,,Median,,Median,,Median,,Median,,
,IQR,,IQR,,IQR,,IQR,,IQR,,
Base Scenario (BC),100,,108,,100,,113,,100,,
No lockdown,86,112,97,119,87,112,103,124,97,104,
No physical distancing,,,,,,,,,,,
No active case finding,,,,,,,,,,,
,,,,,,,,,,,
Lockdown 1 Month (LD1),103,,144,,103,,150,,102,,
Days 1-30,89,115,131,156,90,114,137,162,97,105,
,,,,,,,,,,,
Lockdown 2 Months (LD2),102,,182,,102,,188,,99,,
Days 1-60,86,116,166,202,87,115,172,208,95,105,
,,,,,,,,,,,
Physical distancing (PD1),36,,245,,37,,251,,67,,
Days 31-365,23,46,216,310,24,47,221,315,48,77,
,,,,,,,,,,,
Physical distancing (PD2),88,,239,,88,,245,,97,,
Days 31-183,79,92,219,255,81,93,224,261,96,101,
,,,,,,,,,,,
Active Case Finding 5% (CF1),48,,139,,49,,145,,73,,
Days 31-365,31,61,117,159,33,63,123,164,63,81,
,,,,,,,,,,,
Active Case Finding 5% (CF2),54,,131,,55,,136,,77,,
Days 31-183,38,65,115,154,39,66,121,160,73,83,
,,,,,,,,,,,
Active Case Finding 5% (CF3),64,,105,,65,,111,,78,,
Days 61-365,47,81,93,122,49,82,99,127,73,86,
,,,,,,,,,,,
Active Case Finding 10% (CT1),17,,171,,18,,173,,44,,
Days 31-365,8,26,147,220,8,27,149,226,29,54,
,,,,,,,,,,,
Active Case Finding 10% (CT2),41,,280,,42,,286,,86,,
Days 31-183,28,63,140,290,29,64,145,295,77,90,
,,,,,,,,,,,
LD1 + PD1 + CF1,0,,365,,0,,356,,1,,
,0,3,10,366,0,3,17,366,0,4,
,,,,,,,,,,,
LD1 + PD1 + CF2,5,,366,,7,,365,,4,,
,0,8,347,366,0,47,349,366,0,50,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
LD1 + PD1 + CF3,1,,365,,1,,353,,2,,
,0,5,255,366,0,5,208,366,0,10,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
LD1 + PD1 + CT1,0,,10,,0,,15,,0,,
,0,0,9,11,0,0,14,16,0,0,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
LD1 + PD1 + CT2,0,,366,,0,,365,,0,,
,0,7,195,366,0,1,197,366,0,1,
